"pop","gen","wing"
"Narrabri","G2",3.93798636680188
"Narrabri","G2",3.88220978694442
"Narrabri","G2",3.98759277631295
"Narrabri","G2",3.75382694923654
"Narrabri","G2",4.13941965178161
"Narrabri","G2",3.93086801617234
"Narrabri","G11",4.03555600996228
"Narrabri","G11",4.1762913171766
"Narrabri","G11",3.82183400837478
"Narrabri","G11",4.04285799535403
"Narrabri","G11",3.84239517521123
"Narrabri","G11",4.01695676539867
"Narrabri","G11",4.15645381624728
"Narrabri","G11",4.05580166878887
"Narrabri","G11",3.93238209897185
"Narrabri","G11",3.96279494727042
"Narrabri","G11",4.24027097333229
"Narrabri","G11",3.92489626927646
"Narrabri","G11",3.96503534347797
"Narrabri","G11",4.01771657848192
"Narrabri","G11",4.18569125369254
"Narrabri","G11",3.88243477497673
"Narrabri","G11",4.02872149158522
"Narrabri","G11",3.84732770146971
"Narrabri","G11",3.89128887233386
"Narrabri","G11",3.82356690271883
"Narrabri","G11",3.72377587714257
"Narrabri","G11",3.94997260521306
"Narrabri","G11",3.94208706452228
"Narrabri","G11",3.82694803869495
"Narrabri","G11",3.87535267618955
"Narrabri","G11",3.87836825442079
"Narrabri","G11",3.91578594272603
"Sydney","G2",3.83240492243847
"Sydney","G2",4.01288052842803
"Sydney","G2",4.06506602518753
"Sydney","G2",3.94782581484887
"Sydney","G2",3.92073971110398
"Sydney","G2",4.27380328053161
"Sydney","G2",4.04353243409367
"Sydney","G2",4.15675456140118
"Sydney","G2",4.03870303234669
"Sydney","G2",3.80445273617749
"Sydney","G2",3.83106975172094
"Sydney","G2",3.82054818842554
"Sydney","G2",4.08029031537259
"Sydney","G2",4.26003464330382
"Sydney","G2",4.05921671821467
"Sydney","G2",4.11102862628652
"Sydney","G2",3.91080449855959
"Sydney","G2",3.7050596335737
"Sydney","G2",3.8268238717082
"Sydney","G2",3.85192910803667
"Sydney","G2",4.16938230893892
"Sydney","G2",3.85741138273751
"Sydney","G2",3.96159594718693
"Sydney","G2",4.18610629561375
"Sydney","G2",3.79154312393381
"Sydney","G2",3.65345183553331
"Sydney","G2",3.93584444369302
"Sydney","G11",3.84095604221859
"Sydney","G11",3.82084790652277
"Sydney","G11",3.83713291647511
"Sydney","G11",3.67758312124133
"Sydney","G11",3.76377284649467
"Sydney","G11",4.07263729338468
"Sydney","G11",3.96799064430015
"Sydney","G11",4.05734415202688
"Sydney","G11",3.77495769148205
"Sydney","G11",3.80109490266376
"Sydney","G11",3.96639492896957
"Sydney","G11",3.98474519977396
"Sydney","G11",3.82086995619572
"Sydney","G11",3.76141895078438
"Sydney","G11",3.83732189632834
"Sydney","G11",3.82611816445119
"Sydney","G11",4.10917127345921
"Sydney","G11",3.79776027390348
"Sydney","G11",3.99991085625321
"Sydney","G11",3.98759968051086
"Sydney","G11",3.62969179568996
"Sydney","G11",3.92881626147053
"Sydney","G11",4.13577314962265
"Sydney","G11",3.94711685035915
"Sydney","G11",4.12171791381538
"Sydney","G11",3.91964296726277
"Sydney","G11",3.88813475739865
"Sydney","G11",4.10390642846579
"Sydney","G11",3.90008883256648
"Sydney","G11",3.89844313139956
"Sydney","G11",3.92917632166418
"Sydney","G11",3.96186822058574
"Sydney","G11",3.87913328555026
"Sydney","G11",4.03977098299616
"Utchee Creek","G2",3.63425640690566
"Utchee Creek","G2",3.69812041880406
"Utchee Creek","G2",3.81834292648429
"Utchee Creek","G2",3.6252738259565
"Utchee Creek","G2",3.74608052896292
"Utchee Creek","G2",3.76888270139314
"Utchee Creek","G2",3.78285477551091
"Utchee Creek","G2",3.61157970289945
"Utchee Creek","G2",3.91476670320062
"Utchee Creek","G2",3.78655914040667
"Utchee Creek","G2",3.99614120683501
"Utchee Creek","G2",3.89121820835697
"Utchee Creek","G2",3.84251307372929
"Utchee Creek","G2",3.54260327780113
"Utchee Creek","G2",3.84047266910264
"Utchee Creek","G2",3.71763569851494
"Utchee Creek","G2",3.76713810544031
"Utchee Creek","G2",3.7535968253578
"Utchee Creek","G2",3.67588449998077
"Utchee Creek","G2",3.88441187747514
"Utchee Creek","G2",3.88386139495346
"Utchee Creek","G2",3.94527621498371
"Utchee Creek","G2",3.76046769861136
"Utchee Creek","G2",3.88394586026776
"Utchee Creek","G2",3.94211355978483
"Utchee Creek","G2",3.74443040944796
"Utchee Creek","G2",3.80038064090725
"Utchee Creek","G2",3.76792607211717
